[Hoja: Sheet1]
A1=Error code | B1=Error Description
A2=0 | B2=Success
A3=3 | B3=The card number is wrong, please confirm the number adjusted by DIP Switch on the card
A4=5 | B4=Unable to start the DSP digital program
A5=6 | B5=DSP stored program read / write error
A6=7 | B6=DSP stored data read / write error
A7=8 | B7="_DMC_01_pci_initial" API function must work first
A8=9 | B8=Value of FeedRate overwrite is the same
A9=11 | B9=Axis data set incorrectly (too large)
A10=12 | B10=IPO mode is required
A11=13 | B11=When Mode 1 is running,  Target should arrive.
A12=14 | B12=Please servo on first
A13=15 | B13=Can not clear position under handwheel mode
A14=16 | B14=Give instruction to module in POD mode but can not receive any response
A15=17 | B15=Error in creating the file for storing debugging information
A16=18 | B16=Control instruction error
A17=19 | B17=Use Security Fpga write Error
A18=20 | B18=Use Security Fpga busy
A19=21 | B19=Set speed is greater than the maximum speed
A20=22 | B20=Security page should be less than 16
A21=23 | B21=Security slave update command is invalid
A22=24 | B22=channel no error
A23=25 | B23="_DMC_01_start_ring" API function must work first
A24=26 | B24=Node ID not existing
A25=27 | B25=DSP is busy, the instruction can not be given
A26=28 | B26=SDO data is sent but there is no response
A27=29 | B27=Operating system can not handle this IRP
A28=30 | B28=To control the axis with SDO, please Servo On first
A29=31 | B29=Slave module (GA or RM) no such Slot number
A30=32 | B30=To use PDO protocol, please first start PDO mode
A31=33 | B31=Protocol, communication circuit has not been established
A32=34 | B32=Module matching time Out
A33=35 | B33=Module matching NG
A34=36 | B34=Set Group Max value as 6
A35=37 | B35=Failure occurs (poor communication, Driver Alm)
A36=38 | B36=Reset Alarm Fail
A37=40 | B37=Security Master Write command is invalid
A38=41 | B38=Security Master Read command is invalid
A39=42 | B39=Please first enter the correct password
A40=50 | B40=The version of Master Card error. Please contact the dealer to purchase the correct Master Card.
A41=51 | B41=Ver Type: B Compare Source selection error
A42=52 | B42=Compare direction is wrong, dir should be 1 or 0 1: ccw, 0: cw
A43=60 | B43=Dll path error
A44=61 | B44=Error in retrieving Dll version
A45=70 | B45=Stop instruction failed to be given to 04PI due to timeout
A46=71 | B46=Stop instruction failed to be given to Servo due to timeout
A47=72 | B47=04PI Stop MC_done not to Error
A48=73 | B48=04PI Homing error
A49=74 | B49=04PI gives SDO instruction, but error is received.
A50=112 | B50=Setting axis number error
A51=114 | B51=Motion commands overlap
A52=116 | B52=Set Max speed to 0
A53=117 | B53=Acceleration / deceleration is greater than 1000 seconds
A54=124 | B54=Operating Helical displacement, value of the parameter "pitch" is 0
A55=127 | B55=Motion command buffer zone is full
A56=128 | B56=Motion Command Error
A57=130 | B57=It does not support speed change
A58=132 | B58=Feed Hold Stop is started, can not receive new orders
A59=133 | B59=Execute slow-down and stop command, can not receive new orders
A60=134 | B60=Unable to perform speed changing function (FeddHold, coaction and deceleration)
A61=135 | B61=Unable to continue to perform FeedHold function
A62=136 | B62=Sdo command return error, please check if the network cable wiring is properly connected
A63=137 | B63=FeedHold function must first start, can not change the speed
A64=138 | B64=Waiting for coaction command, can not change the speed
A65=139 | B65=Waiting for deceleration command, can not change the speed
A66=140 | B66=Single-axis point-to-point mode, acceleration section, speed is 0, non-single-axis point-to-point mode
A67=141 | B67=Buffer Length should be 0 when the mode is _Path_p_change, _Path_velocity_change_onfly, _Path_Start_Move_2seg
A68=142 | B68=Direction of distance should be the same
A69=143 | B69=Center should be consistent through reverse operation
A70=144 | B70=Center should be consistent through reverse operation
A71=145 | B71=Angle is wrong after calculation
A72=146 | B72=Radius is wrong after calculation
A73=147 | B73=The numerator or denominator of the electronic gear ratio is 0
